ensembl_id,id,notch1_target
ENSG00000151892,9421,True
ENSG00000164318,11257,True
ENSG00000081803,1547,True
ENSG00000177551,14115,True
ENSG00000213886,18604,True
ENSG00000152217,9457,True
ENSG00000105639,3140,True
ENSG00000154553,9729,True
ENSG00000166147,11699,True
ENSG00000163637,11020,True
ENSG00000163734,11049,True
ENSG00000078081,1412,True
ENSG00000174099,13513,True
ENSG00000182983,15004,True
ENSG00000183807,15206,True
ENSG00000145335,8642,True
ENSG00000084112,1625,True
ENSG00000165795,11615,True
ENSG00000086289,1693,True
ENSG00000139173,7740,True
ENSG00000137269,7404,True
ENSG00000137198,7387,True
ENSG00000110492,3777,True
ENSG00000185339,15541,True
ENSG00000198363,17098,True
ENSG00000145147,8619,True
ENSG00000136052,7168,True
ENSG00000154451,9717,True
ENSG00000168899,12379,True
ENSG00000137801,7492,True
ENSG00000123095,5324,True
ENSG00000170801,12800,True
ENSG00000138722,7681,True
ENSG00000124813,5572,True
ENSG00000104951,3001,True
ENSG00000204103,17536,True
ENSG00000188404,16203,True
ENSG00000156587,9955,True
ENSG00000124785,5564,True
ENSG00000113327,4162,True
ENSG00000136560,7259,True
ENSG00000104415,2912,True
ENSG00000137809,7497,True
ENSG00000184347,15311,True
ENSG00000179104,14370,True
ENSG00000005108,82,True
ENSG00000135899,7125,True
ENSG00000113790,4222,True
ENSG00000074527,1267,True
ENSG00000107249,3389,True
ENSG00000145708,8688,True
ENSG00000125966,5742,True
ENSG00000109099,3624,True
ENSG00000187955,16100,True
ENSG00000106066,3242,True
ENSG00000171310,12924,True
ENSG00000204965,17801,True
ENSG00000073849,1247,True
ENSG00000173083,13322,True
ENSG00000168672,12328,True
ENSG00000135063,6965,True
ENSG00000187676,16032,True
ENSG00000223953,19633,True
ENSG00000144339,8509,True
ENSG00000105501,3113,True
ENSG00000183486,15113,True
ENSG00000185737,15624,True
ENSG00000088882,1797,True
ENSG00000203727,17445,True
ENSG00000139182,7744,True
ENSG00000168314,12254,True
ENSG00000137393,7420,True
ENSG00000182742,14949,True
ENSG00000119125,4862,True
ENSG00000182916,14989,True
ENSG00000070961,1142,True
ENSG00000220023,18980,True
ENSG00000196963,16695,True
ENSG00000170689,12783,True
ENSG00000146197,8768,True
ENSG00000064115,873,True
ENSG00000149218,9134,True
ENSG00000113657,4207,True
ENSG00000163661,11028,True
ENSG00000185924,15671,True
ENSG00000162669,10735,True
ENSG00000110237,3751,True
ENSG00000135404,7029,True
ENSG00000128645,6024,True
ENSG00000151322,9338,True
ENSG00000173848,13473,True
ENSG00000149948,9226,True
ENSG00000139546,7799,True
ENSG00000117586,4723,True
ENSG00000134138,6802,True
ENSG00000169245,12465,True
ENSG00000111666,3915,True
ENSG00000042980,594,True
ENSG00000131015,6347,True
ENSG00000111335,3876,True
ENSG00000123349,5354,True
ENSG00000139263,7759,True
ENSG00000022567,420,True
ENSG00000197142,16749,True
ENSG00000077943,1405,True
ENSG00000160223,10396,True
ENSG00000081041,1522,True
ENSG00000121570,5160,True
ENSG00000111639,3905,True
ENSG00000204257,17576,True
ENSG00000137673,7465,True
ENSG00000181381,14703,True
ENSG00000138434,7629,True
ENSG00000056998,769,True
ENSG00000013016,326,True
ENSG00000181031,14664,True
ENSG00000108342,3506,True
ENSG00000135148,6984,True
ENSG00000120075,4993,True
ENSG00000135677,7087,True
ENSG00000108511,3535,True
ENSG00000186684,15847,True
ENSG00000184344,15309,True
ENSG00000120328,5027,True
ENSG00000138696,7678,True
ENSG00000135218,6991,True
ENSG00000151746,9403,True
ENSG00000162545,10698,True
ENSG00000164307,11254,True
ENSG00000143466,8365,True
ENSG00000185215,15507,True
ENSG00000137726,7479,True
ENSG00000059588,803,True
ENSG00000204267,17579,True
ENSG00000125347,5608,True
ENSG00000163453,10945,True
ENSG00000134285,6836,True
ENSG00000163735,11050,True
ENSG00000169783,12578,True
ENSG00000096060,2053,True
ENSG00000140511,7942,True
ENSG00000053438,712,True
ENSG00000187957,16101,True
ENSG00000161958,10599,True
ENSG00000110090,3738,True
ENSG00000119138,4863,True
ENSG00000147416,8921,True
ENSG00000152952,9549,True
ENSG00000149269,9141,True
ENSG00000168309,12252,True
ENSG00000154654,9740,True
ENSG00000145362,8648,True
ENSG00000158813,10214,True
ENSG00000145703,8687,True
ENSG00000108576,3545,True
ENSG00000139874,7849,True
ENSG00000128602,6015,True
ENSG00000173598,13428,True
ENSG00000127314,5873,True
ENSG00000134294,6839,True
ENSG00000127334,5879,True
ENSG00000164251,11233,True
ENSG00000175197,13705,True
ENSG00000167272,11983,True
ENSG00000227507,19763,True
ENSG00000165588,11564,True
ENSG00000170381,12708,True
ENSG00000162654,10733,True
ENSG00000205403,17884,True
ENSG00000138798,7707,True
ENSG00000133401,6718,True
ENSG00000198929,17319,True
ENSG00000144857,8592,True
ENSG00000115594,4449,True
ENSG00000002586,24,True
ENSG00000100979,2411,True
ENSG00000204161,17550,True
ENSG00000149131,9123,True
ENSG00000166670,11834,True
ENSG00000003056,33,True
ENSG00000174175,13529,True
ENSG00000115194,4369,True
ENSG00000133169,6695,True
ENSG00000152137,9448,True
ENSG00000164932,11411,True
ENSG00000162692,10740,True
ENSG00000171105,12872,True
ENSG00000221963,19468,True
ENSG00000188488,16214,True
ENSG00000137959,7532,True
ENSG00000101850,2574,True
ENSG00000169418,12502,True
ENSG00000186815,15868,True
ENSG00000184292,15299,True
ENSG00000101134,2440,True
ENSG00000167244,11978,True
ENSG00000128656,6028,True
ENSG00000183671,15160,True
ENSG00000136026,7162,True
ENSG00000117643,4739,True
ENSG00000136842,7308,True
ENSG00000133131,6688,True
ENSG00000120068,4991,True
ENSG00000186470,15805,True
ENSG00000169248,12468,True
ENSG00000136960,7349,True
ENSG00000120693,5068,True
ENSG00000162733,10753,True
ENSG00000185532,15580,True
ENSG00000137965,7535,True
ENSG00000079156,1454,True
ENSG00000118503,4809,True
ENSG00000166741,11846,True
ENSG00000134986,6953,True
ENSG00000166960,11913,True
ENSG00000037280,539,True
ENSG00000135914,7132,True
ENSG00000108700,3568,True
ENSG00000136531,7253,True
ENSG00000167755,12105,True
ENSG00000168916,12385,True
ENSG00000132561,6577,True
ENSG00000069702,1083,True
ENSG00000164220,11227,True
ENSG00000183908,15228,True
ENSG00000112414,4055,True
ENSG00000111775,3942,True
ENSG00000175548,13770,True
ENSG00000144218,8494,True
ENSG00000117226,4675,True
ENSG00000184371,15320,True
ENSG00000114315,4264,True
ENSG00000174640,13605,True
ENSG00000165092,11450,True
ENSG00000137474,7434,True
ENSG00000136167,7193,True
ENSG00000151617,9380,True
ENSG00000105997,3227,True
ENSG00000179046,14356,True
ENSG00000122176,5226,True
ENSG00000139192,7747,True
ENSG00000137642,7461,True
ENSG00000130477,6242,True
ENSG00000164308,11255,True
ENSG00000189221,16378,True
ENSG00000179455,14422,True
ENSG00000197208,16764,True
ENSG00000168306,12251,True
ENSG00000010278,255,True
ENSG00000212719,18473,True
ENSG00000050730,685,True
ENSG00000133048,6664,True
ENSG00000063660,866,True
ENSG00000165495,11540,True
ENSG00000178878,14319,True
ENSG00000166257,11732,True
ENSG00000123572,5386,True
ENSG00000155957,9869,True
ENSG00000221869,19437,True
ENSG00000108691,3567,True
ENSG00000121900,5197,True
ENSG00000161544,10547,True
ENSG00000049246,659,True
ENSG00000111726,3934,True
ENSG00000189056,16343,True
ENSG00000140044,7876,True
ENSG00000010818,275,True
ENSG00000135111,6977,True
ENSG00000111331,3875,True
ENSG00000089127,1821,True
ENSG00000005469,98,True
ENSG00000204963,17800,True
ENSG00000110848,3808,True
ENSG00000151572,9373,True
ENSG00000099139,2077,True
ENSG00000112303,4034,True
ENSG00000204852,17767,True
ENSG00000100906,2400,True
ENSG00000072071,1176,True
ENSG00000072041,1173,True
ENSG00000090376,1875,True
ENSG00000141668,8121,True
ENSG00000170542,12751,True
ENSG00000165118,11456,True
ENSG00000074590,1269,True
ENSG00000110911,3819,True
ENSG00000120798,5084,True
ENSG00000166710,11842,True
ENSG00000118777,4836,True
ENSG00000121769,5181,True
ENSG00000119922,4968,True
ENSG00000121005,5112,True
ENSG00000175445,13751,True
ENSG00000101236,2474,True
ENSG00000154096,9669,True
ENSG00000060138,811,True
ENSG00000204482,17660,True
ENSG00000080709,1507,True
ENSG00000067182,1003,True
ENSG00000100985,2414,True
ENSG00000137331,7414,True
ENSG00000159200,10259,True
ENSG00000182752,14952,True
ENSG00000132530,6572,True
ENSG00000120322,5024,True
ENSG00000156298,9919,True
ENSG00000135503,7057,True
ENSG00000135828,7114,True
ENSG00000162772,10769,True
ENSG00000167996,12172,True
ENSG00000165072,11445,True
ENSG00000164761,11370,True
ENSG00000085831,1673,True
ENSG00000163131,10862,True
ENSG00000111199,3846,True
ENSG00000011028,280,True
ENSG00000109472,3663,True
ENSG00000081842,1549,True
ENSG00000197093,16733,True
ENSG00000134470,6871,True
ENSG00000116132,4525,True
ENSG00000116574,4573,True
ENSG00000132031,6498,True
ENSG00000125266,5603,True
ENSG00000137767,7489,True
ENSG00000070214,1106,True
ENSG00000162998,10824,True
ENSG00000134291,6838,True
ENSG00000106025,3235,True
ENSG00000025039,444,True
ENSG00000120093,4995,True
ENSG00000172602,13230,True
ENSG00000127824,5924,True
ENSG00000169429,12504,True
ENSG00000151062,9309,True
ENSG00000124212,5462,True
ENSG00000071575,1161,True
ENSG00000165379,11513,True
