ensembl_id,id,network_centricity
ENSG00000140382,7914,True
ENSG00000133026,6660,True
ENSG00000138641,7660,True
ENSG00000167861,12136,True
ENSG00000164023,11140,True
ENSG00000100219,2218,True
ENSG00000170540,12750,True
ENSG00000179776,14461,True
ENSG00000129173,6081,True
ENSG00000169744,12569,True
ENSG00000197372,16804,True
ENSG00000196247,16478,True
ENSG00000128833,6045,True
ENSG00000175395,13746,True
ENSG00000198176,17055,True
ENSG00000169291,12477,True
ENSG00000101445,2528,True
ENSG00000151702,9395,True
ENSG00000137509,7447,True
ENSG00000170271,12680,True
ENSG00000165156,11465,True
ENSG00000068305,1036,True
ENSG00000152804,9537,True
ENSG00000133574,6729,True
ENSG00000182568,14915,True
ENSG00000129675,6141,True
ENSG00000066056,960,True
ENSG00000197063,16727,True
ENSG00000197044,16718,True
ENSG00000134013,6781,True
ENSG00000171056,12864,True
ENSG00000154016,9660,True
ENSG00000157570,10064,True
ENSG00000164125,11196,True
ENSG00000145604,8675,True
ENSG00000151881,9418,True
ENSG00000180884,14630,True
ENSG00000171115,12874,True
ENSG00000175130,13693,True
ENSG00000177888,14171,True
ENSG00000124019,5423,True
ENSG00000196305,16491,True
ENSG00000165030,11437,True
ENSG00000100596,2346,True
ENSG00000185630,15598,True
ENSG00000109917,3709,True
ENSG00000147010,8860,True
ENSG00000213203,18528,True
ENSG00000158555,10185,True
ENSG00000167232,11976,True
ENSG00000085276,1652,True
ENSG00000173276,13369,True
ENSG00000125945,5737,True
ENSG00000118407,4797,True
ENSG00000123106,5327,True
ENSG00000147862,8979,True
ENSG00000164976,11427,True
ENSG00000124766,5557,True
ENSG00000065802,947,True
ENSG00000104903,2991,True
ENSG00000102572,2681,True
ENSG00000161940,10595,True
ENSG00000124191,5451,True
ENSG00000198795,17242,True
ENSG00000070476,1116,True
ENSG00000143390,8347,True
ENSG00000008311,216,True
ENSG00000101871,2577,True
ENSG00000003400,39,True
ENSG00000178860,14318,True
ENSG00000173801,13463,True
ENSG00000178150,14212,True
ENSG00000198380,17103,True
ENSG00000150907,9294,True
ENSG00000077809,1402,True
